date,rainfall_departure_pct
1901-01-01,118.25
1901-02-01,90.08
1901-03-01,-25.07
1901-04-01,6.63
1901-05-01,-17.39
1901-06-01,-14.56
1901-07-01,-13.49
1901-08-01,3.82
1901-09-01,-29.45
1901-10-01,-22.63
1901-11-01,58.29
1901-12-01,-41.01
1902-01-01,-47.2
1902-02-01,-61.03
1902-03-01,-25.59
1902-04-01,5.21
1902-05-01,-15.51
1902-06-01,-25.89
1902-07-01,4.32
1902-08-01,-17.38
1902-09-01,36.01
1902-10-01,-8.97
1902-11-01,6.23
1902-12-01,80.92
1903-01-01,4.42
1903-02-01,-32.7
1903-03-01,-5.61
1903-04-01,-60.98
1903-05-01,-5.9
1903-06-01,-24.5
1903-07-01,7.57
1903-08-01,3.19
1903-09-01,13.93
1903-10-01,31.59
1903-11-01,17.98
1903-12-01,21.24
1904-01-01,-27.52
1904-02-01,-55.93
1904-03-01,2.57
1904-04-01,-4.83
1904-05-01,8.43
1904-06-01,4.26
1904-07-01,-7.32
1904-08-01,-25.23
1904-09-01,-11.96
1904-10-01,-11.24
1904-11-01,-51.71
1904-12-01,-19.39
1905-01-01,43.77
1905-02-01,-3.91
1905-03-01,45.41
1905-04-01,-20.11
1905-05-01,-10.35
1905-06-01,-27.65
1905-07-01,-14.35
1905-08-01,-14.97
1905-09-01,-5.72
1905-10-01,-17.94
1905-11-01,-60.83
1905-12-01,-7.19
1906-01-01,31.37
1906-02-01,115.08
1906-03-01,-5.27
1906-04-01,-62.74
1906-05-01,-24.93
1906-06-01,2.75
1906-07-01,2.66
1906-08-01,-0.09
1906-09-01,-5.86
1906-10-01,-24.26
1906-11-01,-37.91
1906-12-01,52.54
1907-01-01,21.12
1907-02-01,85.43
1907-03-01,44.23
1907-04-01,53.06
1907-05-01,-36.87
1907-06-01,-8.85
1907-07-01,-10.01
1907-08-01,16.59
1907-09-01,-38.2
1907-10-01,-56.79
1907-11-01,23.02
1907-12-01,11.1
1908-01-01,20.62
1908-02-01,-8.81
1908-03-01,-72.79
1908-04-01,-14.36
1908-05-01,-14.84
1908-06-01,-16.42
1908-07-01,17.33
1908-08-01,12.59
1908-09-01,-7.13
1908-10-01,-44.51
1908-11-01,-60.81
1908-12-01,-27.59
1909-01-01,51.15
1909-02-01,-36.89
1909-03-01,-73.72
1909-04-01,49.79
1909-05-01,-18.75
1909-06-01,18.61
1909-07-01,5.88
1909-08-01,-9.22
1909-09-01,-7.09
1909-10-01,-43.31
1909-11-01,-62.85
1909-12-01,52.15
1910-01-01,-22.35
1910-02-01,-53.21
1910-03-01,-30.14
1910-04-01,-27.98
1910-05-01,-31.35
1910-06-01,23.44
1910-07-01,-14.64
1910-08-01,9.59
1910-09-01,19.14
1910-10-01,38.63
1910-11-01,23.51
1910-12-01,-53.99
1911-01-01,140.61
1911-02-01,-80.26
1911-03-01,57.53
